text;loc_dist;source;source_cf;label_cat;score_cat
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отсутствие врачей на ночных сменах;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9767029881477356
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
проблемы с записью на прием;Петродворцовый;ПОС;1.0;Здравоохранение,;0.31055328249931335
отказ в приеме без записи;Петродворцовый;ПОС;1.0;Здравоохранение,;0.8110570907592773
закрытие важного медучреждения;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9816880822181702
старое и неисправное оборудование;Петродворцовый;НСПБ;0.8;ЖКХ,;0.3867245614528656
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9908051490783691
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
проблемы с записью на прием;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.31055328249931335
недостаток узких специалистов;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.8544318079948425
платные услуги вместо бесплатных;Петродворцовый;СоцСети;0.1;ЖКХ,;0.5954723954200745
нет детской реанимации;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9770845770835876
запись к терапевту только через месяц;Петродворцовый;НСПБ;0.8;Здравоохранение,;0.9908051490783691
задержки скорой помощи;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9731664061546326
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9800944924354553
нет необходимых лекарств в аптеке;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9890159964561462
нехватка медицинского оборудования;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9836355447769165
недостаток педиатров в районе;Петродворцовый;СоцСети;0.1;Здравоохранение,;0.9834258556365967
нехватка донорской крови;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9790636897087097
недостаток педиатров в районе;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9834258556365967
нет специалистов по редким заболеваниям;Петродворцовый;ПОС;1.0;Здравоохранение,;0.9800944924354553
